T: 1.890000   E_avg: -45.089700   E_exp: -48.469323   Diff: 3.379623   M^2_avg: 288.869200   M^2_exp: 288.118324
T: 1.900000   E_avg: -45.108900   E_exp: -48.255983   Diff: 3.147083   M^2_avg: 295.390000   M^2_exp: 286.518116
T: 1.910000   E_avg: -45.000900   E_exp: -48.044311   Diff: 3.043411   M^2_avg: 281.490000   M^2_exp: 284.943412
T: 1.920000   E_avg: -44.703300   E_exp: -47.834293   Diff: 3.130993   M^2_avg: 285.420800   M^2_exp: 283.393631
T: 1.930000   E_avg: -44.336500   E_exp: -47.625910   Diff: 3.289410   M^2_avg: 280.764400   M^2_exp: 281.868209
T: 1.940000   E_avg: -44.187300   E_exp: -47.419147   Diff: 3.231847   M^2_avg: 281.968800   M^2_exp: 280.366597
T: 1.950000   E_avg: -43.960900   E_exp: -47.213989   Diff: 3.253089   M^2_avg: 274.570400   M^2_exp: 278.888263
T: 1.960000   E_avg: -43.683700   E_exp: -47.010419   Diff: 3.326719   M^2_avg: 278.574000   M^2_exp: 277.432691
T: 1.970000   E_avg: -43.479300   E_exp: -46.808423   Diff: 3.329123   M^2_avg: 281.074400   M^2_exp: 275.999378
T: 1.980000   E_avg: -43.346900   E_exp: -46.607983   Diff: 3.261083   M^2_avg: 280.726000   M^2_exp: 274.587836
T: 1.990000   E_avg: -43.042100   E_exp: -46.409086   Diff: 3.366986   M^2_avg: 275.514400   M^2_exp: 273.197591
T: 2.000000   E_avg: -42.951700   E_exp: -46.211716   Diff: 3.260016   M^2_avg: 266.852400   M^2_exp: 271.828183
T: 2.010000   E_avg: -42.652900   E_exp: -46.015857   Diff: 3.362957   M^2_avg: 264.767600   M^2_exp: 270.479162
T: 2.020000   E_avg: -42.500500   E_exp: -45.821496   Diff: 3.320996   M^2_avg: 267.449600   M^2_exp: 269.150094
T: 2.030000   E_avg: -42.406500   E_exp: -45.628616   Diff: 3.222116   M^2_avg: 270.425200   M^2_exp: 267.840555
T: 2.040000   E_avg: -42.006900   E_exp: -45.437204   Diff: 3.430304   M^2_avg: 260.948800   M^2_exp: 266.550133
T: 2.050000   E_avg: -41.928500   E_exp: -45.247246   Diff: 3.318746   M^2_avg: 264.714800   M^2_exp: 265.278427
T: 2.060000   E_avg: -41.718900   E_exp: -45.058726   Diff: 3.339826   M^2_avg: 265.436400   M^2_exp: 264.025047
T: 2.070000   E_avg: -41.632900   E_exp: -44.871630   Diff: 3.238730   M^2_avg: 263.814000   M^2_exp: 262.789613
T: 2.080000   E_avg: -41.429700   E_exp: -44.685945   Diff: 3.256245   M^2_avg: 257.068000   M^2_exp: 261.571756
T: 2.090000   E_avg: -41.105700   E_exp: -44.501657   Diff: 3.395957   M^2_avg: 253.100000   M^2_exp: 260.371117
T: 2.100000   E_avg: -40.857700   E_exp: -44.318751   Diff: 3.461051   M^2_avg: 255.892400   M^2_exp: 259.187345
T: 2.110000   E_avg: -40.786900   E_exp: -44.137214   Diff: 3.350314   M^2_avg: 259.465200   M^2_exp: 258.020099
T: 2.120000   E_avg: -40.679300   E_exp: -43.957034   Diff: 3.277734   M^2_avg: 257.067200   M^2_exp: 256.869048
T: 2.130000   E_avg: -40.543300   E_exp: -43.778195   Diff: 3.234895   M^2_avg: 254.714000   M^2_exp: 255.733867
T: 2.140000   E_avg: -40.228100   E_exp: -43.600686   Diff: 3.372586   M^2_avg: 256.988800   M^2_exp: 254.614242
T: 2.150000   E_avg: -40.093300   E_exp: -43.424493   Diff: 3.331193   M^2_avg: 255.942800   M^2_exp: 253.509867
T: 2.160000   E_avg: -40.113300   E_exp: -43.249603   Diff: 3.136303   M^2_avg: 261.188800   M^2_exp: 252.420440
T: 2.170000   E_avg: -39.870100   E_exp: -43.076003   Diff: 3.205903   M^2_avg: 249.277600   M^2_exp: 251.345672
T: 2.180000   E_avg: -39.643300   E_exp: -42.903681   Diff: 3.260381   M^2_avg: 255.113600   M^2_exp: 250.285278
T: 2.190000   E_avg: -39.343700   E_exp: -42.732624   Diff: 3.388924   M^2_avg: 243.235200   M^2_exp: 249.238980
T: 2.200000   E_avg: -39.298900   E_exp: -42.562820   Diff: 3.263920   M^2_avg: 255.053200   M^2_exp: 248.206508
T: 2.210000   E_avg: -39.185300   E_exp: -42.394256   Diff: 3.208956   M^2_avg: 246.472800   M^2_exp: 247.187600
T: 2.220000   E_avg: -39.113300   E_exp: -42.226921   Diff: 3.113621   M^2_avg: 249.213600   M^2_exp: 246.181997
T: 2.230000   E_avg: -38.647300   E_exp: -42.060801   Diff: 3.413501   M^2_avg: 242.058400   M^2_exp: 245.189449
T: 2.240000   E_avg: -38.685700   E_exp: -41.895887   Diff: 3.210187   M^2_avg: 244.899200   M^2_exp: 244.209711
